,area,SERIAL,category,value,description
48,Taoyuan City,1003,Child.Benefits..Caretaker..NT.,3000,
49,Hsinchu County,1004,Child.Benefits..Caretaker..NT.,3000,
50,Hsinchu City,1005,Child.Benefits..Caretaker..NT.,3000,
51,Miaoli County,1006,Child.Benefits..Caretaker..NT.,3000,
52,Taichung City,1007,Child.Benefits..Caretaker..NT.,6000,
53,Changhua County,1008,Child.Benefits..Caretaker..NT.,3000,
54,Nantou County,1009,Child.Benefits..Caretaker..NT.,3000,
55,Yunlin County,1010,Child.Benefits..Caretaker..NT.,3000,
56,Chiayi County,1011,Child.Benefits..Caretaker..NT.,3000,
57,Chiayi City,1012,Child.Benefits..Caretaker..NT.,3000,
58,Tainan City,1013,Child.Benefits..Caretaker..NT.,3000,
59,Kaohsiung City,1014,Child.Benefits..Caretaker..NT.,3000,
60,Yilan County,1015,Child.Benefits..Caretaker..NT.,3000,
61,Hualien County,1016,Child.Benefits..Caretaker..NT.,3000,
62,Taitung County,1017,Child.Benefits..Caretaker..NT.,3000,
63,Pingtung County,1018,Child.Benefits..Caretaker..NT.,3000,
64,Kinmen County,1019,Child.Benefits..Caretaker..NT.,3000,
65,Penghu County,1020,Child.Benefits..Caretaker..NT.,3000,
66,Lienchiang County,1021,Child.Benefits..Caretaker..NT.,3000,
67,Taipei City,1000,Household.Income.NT.,1.6,
68,New Taipei City,1001,Household.Income.NT.,1.2,
69,Keelung City,1002,Household.Income.NT.,1.1,
70,Taoyuan City,1003,Household.Income.NT.,1.3,
71,Hsinchu County,1004,Household.Income.NT.,1.3,
72,Hsinchu City,1005,Household.Income.NT.,1.4,
73,Miaoli County,1006,Household.Income.NT.,1,
74,Taichung City,1007,Household.Income.NT.,1.2,
75,Changhua County,1008,Household.Income.NT.,0.9,
76,Nantou County,1009,Household.Income.NT.,0.9,
77,Yunlin County,1010,Household.Income.NT.,0.9,
78,Chiayi County,1011,Household.Income.NT.,0.9,
79,Chiayi City,1012,Household.Income.NT.,1.1,
80,Tainan City,1013,Household.Income.NT.,1,
81,Kaohsiung City,1014,Household.Income.NT.,1.1,
82,Yilan County,1015,Household.Income.NT.,1.2,
83,Hualien County,1016,Household.Income.NT.,0.9,
84,Taitung County,1017,Household.Income.NT.,0.7,
85,Pingtung County,1018,Household.Income.NT.,0.9,
86,Kinmen County,1019,Household.Income.NT.,1.1,
87,Penghu County,1020,Household.Income.NT.,0.8,
88,Lienchiang County,1021,Household.Income.NT.,1.3,
89,Taipei City,1000,Birth.Rate.Per.Thousand..Aug.2016.,10.28,
90,New Taipei City,1001,Birth.Rate.Per.Thousand..Aug.2016.,8.43,
91,Keelung City,1002,Birth.Rate.Per.Thousand..Aug.2016.,6.79,
92,Taoyuan City,1003,Birth.Rate.Per.Thousand..Aug.2016.,10.96,
93,Hsinchu County,1004,Birth.Rate.Per.Thousand..Aug.2016.,10.45,
94,Hsinchu City,1005,Birth.Rate.Per.Thousand..Aug.2016.,10.98,
95,Miaoli County,1006,Birth.Rate.Per.Thousand..Aug.2016.,8.5,
96,Taichung City,1007,Birth.Rate.Per.Thousand..Aug.2016.,9.21,
97,Changhua County,1008,Birth.Rate.Per.Thousand..Aug.2016.,8.9,
98,Nantou County,1009,Birth.Rate.Per.Thousand..Aug.2016.,7.06,
99,Yunlin County,1010,Birth.Rate.Per.Thousand..Aug.2016.,6.49,
100,Chiayi County,1011,Birth.Rate.Per.Thousand..Aug.2016.,5.39,
101,Chiayi City,1012,Birth.Rate.Per.Thousand..Aug.2016.,7.74,
102,Tainan City,1013,Birth.Rate.Per.Thousand..Aug.2016.,7.67,
103,Kaohsiung City,1014,Birth.Rate.Per.Thousand..Aug.2016.,7.9,
104,Yilan County,1015,Birth.Rate.Per.Thousand..Aug.2016.,8.38,
105,Hualien County,1016,Birth.Rate.Per.Thousand..Aug.2016.,7.23,
106,Taitung County,1017,Birth.Rate.Per.Thousand..Aug.2016.,6.03,
107,Pingtung County,1018,Birth.Rate.Per.Thousand..Aug.2016.,6.07,
108,Kinmen County,1019,Birth.Rate.Per.Thousand..Aug.2016.,7.78,
109,Penghu County,1020,Birth.Rate.Per.Thousand..Aug.2016.,9.57,
110,Lienchiang County,1021,Birth.Rate.Per.Thousand..Aug.2016.,16.95,
111,Taipei City,1000,Birth.Rate.Per.Thousand..Sep.2016.,9.84,
112,New Taipei City,1001,Birth.Rate.Per.Thousand..Sep.2016.,8.42,
113,Keelung City,1002,Birth.Rate.Per.Thousand..Sep.2016.,6.82,
114,Taoyuan City,1003,Birth.Rate.Per.Thousand..Sep.2016.,11.49,
115,Hsinchu County,1004,Birth.Rate.Per.Thousand..Sep.2016.,10.1,
116,Hsinchu City,1005,Birth.Rate.Per.Thousand..Sep.2016.,9.32,
117,Miaoli County,1006,Birth.Rate.Per.Thousand..Sep.2016.,7.73,
118,Taichung City,1007,Birth.Rate.Per.Thousand..Sep.2016.,9.36,
119,Changhua County,1008,Birth.Rate.Per.Thousand..Sep.2016.,10.76,
120,Nantou County,1009,Birth.Rate.Per.Thousand..Sep.2016.,6.46,
121,Yunlin County,1010,Birth.Rate.Per.Thousand..Sep.2016.,6.78,
122,Chiayi County,1011,Birth.Rate.Per.Thousand..Sep.2016.,5.76,
123,Chiayi City,1012,Birth.Rate.Per.Thousand..Sep.2016.,6.69,
124,Tainan City,1013,Birth.Rate.Per.Thousand..Sep.2016.,7.49,
125,Kaohsiung City,1014,Birth.Rate.Per.Thousand..Sep.2016.,7.88,
126,Yilan County,1015,Birth.Rate.Per.Thousand..Sep.2016.,6.93,
127,Hualien County,1016,Birth.Rate.Per.Thousand..Sep.2016.,8.21,
128,Taitung County,1017,Birth.Rate.Per.Thousand..Sep.2016.,7.22,
129,Pingtung County,1018,Birth.Rate.Per.Thousand..Sep.2016.,6.19,
130,Kinmen County,1019,Birth.Rate.Per.Thousand..Sep.2016.,9.92,
131,Penghu County,1020,Birth.Rate.Per.Thousand..Sep.2016.,8.44,
132,Lienchiang County,1021,Birth.Rate.Per.Thousand..Sep.2016.,12.62,
133,Taipei City,1000,Birth.Rate.Per.Thousand..Oct.2016.,11.19,
134,New Taipei City,1001,Birth.Rate.Per.Thousand..Oct.2016.,9.26,
135,Keelung City,1002,Birth.Rate.Per.Thousand..Oct.2016.,7.17,
136,Taoyuan City,1003,Birth.Rate.Per.Thousand..Oct.2016.,12,
137,Hsinchu County,1004,Birth.Rate.Per.Thousand..Oct.2016.,11.75,
138,Hsinchu City,1005,Birth.Rate.Per.Thousand..Oct.2016.,10.96,
139,Miaoli County,1006,Birth.Rate.Per.Thousand..Oct.2016.,8.01,
140,Taichung City,1007,Birth.Rate.Per.Thousand..Oct.2016.,10.15,
141,Changhua County,1008,Birth.Rate.Per.Thousand..Oct.2016.,12.47,
142,Nantou County,1009,Birth.Rate.Per.Thousand..Oct.2016.,7.96,
143,Yunlin County,1010,Birth.Rate.Per.Thousand..Oct.2016.,7.45,
144,Chiayi County,1011,Birth.Rate.Per.Thousand..Oct.2016.,5.81,
145,Chiayi City,1012,Birth.Rate.Per.Thousand..Oct.2016.,8.36,
146,Tainan City,1013,Birth.Rate.Per.Thousand..Oct.2016.,8.44,
147,Kaohsiung City,1014,Birth.Rate.Per.Thousand..Oct.2016.,8.47,
148,Yilan County,1015,Birth.Rate.Per.Thousand..Oct.2016.,8.64,
149,Hualien County,1016,Birth.Rate.Per.Thousand..Oct.2016.,9.13,
150,Taitung County,1017,Birth.Rate.Per.Thousand..Oct.2016.,8.11,
151,Pingtung County,1018,Birth.Rate.Per.Thousand..Oct.2016.,6.52,
152,Kinmen County,1019,Birth.Rate.Per.Thousand..Oct.2016.,12.72,
153,Penghu County,1020,Birth.Rate.Per.Thousand..Oct.2016.,13.08,
154,Lienchiang County,1021,Birth.Rate.Per.Thousand..Oct.2016.,15,
155,Taipei City,1000,Population..2015.,4,
156,New Taipei City,1001,Population..2015.,2.8,
157,Keelung City,1002,Population..2015.,0.3,
158,Taoyuan City,1003,Population..2015.,2.1,
159,Hsinchu County,1004,Population..2015.,1.3,
160,Hsinchu City,1005,Population..2015.,0.8,
161,Miaoli County,1006,Population..2015.,0.5,
162,Taichung City,1007,Population..2015.,2.7,
163,Changhua County,1008,Population..2015.,0.6,
164,Nantou County,1009,Population..2015.,0.5,
165,Yunlin County,1010,Population..2015.,0.5,
166,Chiayi County,1011,Population..2015.,0.4,
167,Chiayi City,1012,Population..2015.,0.2,
168,Tainan City,1013,Population..2015.,1.9,
169,Kaohsiung City,1014,Population..2015.,2.7,
170,Yilan County,1015,Population..2015.,0.4,
171,Hualien County,1016,Population..2015.,0.3,
172,Taitung County,1017,Population..2015.,0.1,
173,Pingtung County,1018,Population..2015.,0.5,
174,Kinmen County,1019,Population..2015.,0.7,
175,Penghu County,1020,Population..2015.,0.1,
176,Lienchiang County,1021,Population..2015.,0,
177,Taipei City,1000,Population.Change..2014.to.2015.,-10.3,
178,New Taipei City,1001,Population.Change..2014.to.2015.,-2,
179,Keelung City,1002,Population.Change..2014.to.2015.,-0.7,
180,Taoyuan City,1003,Population.Change..2014.to.2015.,7.8,
181,Hsinchu County,1004,Population.Change..2014.to.2015.,-5.7,
182,Hsinchu City,1005,Population.Change..2014.to.2015.,-3.8,
183,Miaoli County,1006,Population.Change..2014.to.2015.,2.3,
184,Taichung City,1007,Population.Change..2014.to.2015.,14.4,
185,Changhua County,1008,Population.Change..2014.to.2015.,-4.2,
186,Nantou County,1009,Population.Change..2014.to.2015.,-0.4,
187,Yunlin County,1010,Population.Change..2014.to.2015.,-3.6,
188,Chiayi County,1011,Population.Change..2014.to.2015.,-0.6,
189,Chiayi City,1012,Population.Change..2014.to.2015.,-1.2,
190,Tainan City,1013,Population.Change..2014.to.2015.,-0.2,
191,Kaohsiung City,1014,Population.Change..2014.to.2015.,-9.4,
192,Yilan County,1015,Population.Change..2014.to.2015.,-0.3,
193,Hualien County,1016,Population.Change..2014.to.2015.,-0.9,
194,Taitung County,1017,Population.Change..2014.to.2015.,4.4,
195,Pingtung County,1018,Population.Change..2014.to.2015.,-2.6,
196,Kinmen County,1019,Population.Change..2014.to.2015.,-3.8,
197,Penghu County,1020,Population.Change..2014.to.2015.,0.6,
198,Lienchiang County,1021,Population.Change..2014.to.2015.,-0.1,
199,Taipei City,1000,Population..Growth.Rate.,-0.26,
200,New Taipei City,1001,Population..Growth.Rate.,-7,
201,Keelung City,1002,Population..Growth.Rate.,-0.27,
202,Taoyuan City,1003,Population..Growth.Rate.,0.36,
203,Hsinchu County,1004,Population..Growth.Rate.,-0.44,
204,Hsinchu City,1005,Population..Growth.Rate.,-0.45,
205,Miaoli County,1006,Population..Growth.Rate.,0.43,
206,Taichung City,1007,Population..Growth.Rate.,0.52,
207,Changhua County,1008,Population..Growth.Rate.,-0.75,
208,Nantou County,1009,Population..Growth.Rate.,-0.08,
209,Yunlin County,1010,Population..Growth.Rate.,-0.71,
210,Chiayi County,1011,Population..Growth.Rate.,-0.16,
211,Chiayi City,1012,Population..Growth.Rate.,-0.54,
212,Tainan City,1013,Population..Growth.Rate.,-0.01,
213,Kaohsiung City,1014,Population..Growth.Rate.,-0.35,
214,Yilan County,1015,Population..Growth.Rate.,-0.08,
215,Hualien County,1016,Population..Growth.Rate.,-0.26,
216,Taitung County,1017,Population..Growth.Rate.,3.34,
217,Pingtung County,1018,Population..Growth.Rate.,-0.5,
218,Kinmen County,1019,Population..Growth.Rate.,-0.55,
219,Penghu County,1020,Population..Growth.Rate.,0.56,
220,Lienchiang County,1021,Population..Growth.Rate.,-0.56,
